Label,Symbol,Name,Sector,Market Cap
4,ESPR,ESPERION THERAPEUTICS INC,Health Care,11334512.34
4,CHRS,COHERUS BIOSCIENCES INC,Health Care,11111066.52
4,MGNX,MACROGENICS INC,Health Care,9465437.4
4,AMPH,AMPHASTAR PHARMACEUTICALS INC,Health Care,9024478.65
4,RCKT,ROCKET PHARMACEUTICALS INC,Health Care,9008786.91
4,IMGN,IMMUNOGEN INC,Health Care,7320870.4
4,CARA,CARA THERAPEUTICS INC,Health Care,6849403.74
4,BCRX,BIOCRYST PHARMACEUTICALS INC,Health Care,6352050.9
4,COLL,COLLEGIUM PHARMACEUTICAL INC,Health Care,5793704.57
4,ATRA,ATARA BIOTHERAPEUTICS INC,Health Care,5124729.84
4,FLXN,FLEXION THERAPEUTICS INC,Health Care,4013384.82
4,ANIP,ANI PHARMACEUTICALS INC,Health Care,3705162.78
4,PBYI,PUMA BIOTECHNOLOGY INC,Health Care,3690073.96
4,PGNX,PROGENICS PHARMACEUTICALS INC,Health Care,3316854.98
4,RIGL,RIGEL PHARMACEUTICALS INC,Health Care,2960867.64
4,CLLS,CELLECTIS ADR REPRESENTING SA,Health Care,2624419.14
5,EXEL,EXELIXIS INC,Health Care,64317510.96
5,SYNH,SYNEOS HEALTH INC CLASS A,Health Care,53364472.45
5,XLRN,ACCELERON PHARMA INC,Health Care,47251332.72
5,BLUE,BLUEBIRD BIO INC,Health Care,39855924.72
5,MNTA,MOMENTA PHARMACEUTICALS INC,Health Care,34948906.28
5,GWPH,GW PHARMACEUTICALS ADR REPRESENTIN,Health Care,34943582.4
5,PTCT,PTC THERAPEUTICS INC,Health Care,28886970.96
5,INSM,INSMED INC,Health Care,27021916.44
5,GRFS,GRIFOLS ADR REPRESENTING ONE NON-V,Health Care,24476269.36
5,LGND,LIGAND PHARMACEUTICALS INC,Health Care,17780208.85
5,SAGE,SAGE THERAPEUTICS INC,Health Care,17555909.8
5,XNCR,XENCOR INC,Health Care,16216511.7
5,SGMO,SANGAMO THERAPEUTICS INC,Health Care,15513774.85
5,IRWD,IRONWOOD PHARMA INC CLASS A,Health Care,14378812.12
5,LMNX,LUMINEX CORP,Health Care,12966782.49
5,CYTK,CYTOKINETICS INC,Health Care,12034937.0
5,KPTI,KARYOPHARM THERAPEUTICS INC,Health Care,11806351.6
5,SUPN,SUPERNUS PHARMACEUTICALS INC,Health Care,11388141.7
5,AERI,AERIE PHARMACEUTICALS INC,Health Care,5991630.59
5,VNDA,VANDA PHARMACEUTICALS INC,Health Care,5508069.28
5,PDLI,PDL BIOPHARMA INC,Health Care,3532518.4
6,SRPT,SAREPTA THERAPEUTICS INC,Health Care,116371968.0
6,ASND,ASCENDIS PHARMA ADR REPRESENTING,Health Care,63454806.26
6,IMMU,IMMUNOMEDICS INC,Health Care,63163615.2
6,MRTX,MIRATI THERAPEUTICS INC,Health Care,42638388.78
6,IOVA,IOVANCE BIOTHERAPEUTICS INC,Health Care,36498711.84
6,CCXI,CHEMOCENTRYX INC,Health Care,32915296.56
6,ARWR,ARROWHEAD PHARMACEUTICALS INC,Health Care,31248852.12
6,AMRN,AMARIN ADR REPRESENTING PLC,Health Care,23248270.4
6,FATE,FATE THERAPEUTICS INC,Health Care,22003390.2
6,AUPH,AURINIA PHARMACEUTICALS INC,Health Care,15207087.82
6,VCYT,VERACYTE INC,Health Care,11569843.91
6,GMAB,GENMAB SPONSORED ADR,Health Care,9717786.0
6,SIGA,SIGA TECHNOLOGIES INC,Health Care,4448114.76
6,CBAY,CYMABAY THERAPEUTICS INC,Health Care,2257560.33
7,AMGN,AMGEN INC,Health Care,663166743.8
7,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,655887247.73
7,GILD,GILEAD SCIENCES INC,Health Care,635449531.56
7,REGN,REGENERON PHARMACEUTICALS INC,Health Care,618201227.52
7,BIIB,BIOGEN INC,Health Care,472594486.56
7,SGEN,SEATTLE GENETICS INC,Health Care,249270910.85
7,ALXN,ALEXION PHARMACEUTICALS INC,Health Care,236850221.66
7,NBIX,NEUROCRINE BIOSCIENCES INC,Health Care,101732537.4
7,SNY,SANOFI ADR REPRESENTING SA,Health Care,100300096.26
8,INO,INOVIO PHARMACEUTICALS INC,Health Care,18741621.78
8,OMER,OMEROS CORP,Health Care,7947251.0
8,AMRS,AMYRIS INC,Materials,5930274.9
8,PACB,PACIFIC BIOSCIENCES OF CALIFORNIA,Health Care,5008817.64
8,XBIT,XBIOTECH INC,Health Care,3765066.25
8,PRQR,PROQR THERAPEUTICS NV,Health Care,2528494.92
8,ADMA,ADMA BIOLOGICS INC,Health Care,2366467.6
8,EIGR,EIGER BIOPHARMACEUTICALS INC,Health Care,2285911.62
8,EYPT,EYEPOINT PHARMACEUTICALS INC,Health Care,1002742.08
9,OPK,OPKO HEALTH INC,Health Care,16139278.62
9,ITCI,INTRA CELLULAR THERAPIES INC,Health Care,13097978.47
9,ENDP,ENDO INTERNATIONAL PLC,Health Care,7952107.22
9,EGRX,EAGLE PHARMACEUTICALS INC,Health Care,6152021.76
9,PGEN,PRECIGEN INC,Health Care,5898151.35
9,RDUS,RADIUS HEALTH INC,Health Care,5739864.66
9,PRTA,PROTHENA PLC,Health Care,3902915.64
9,AMAG,AMAG PHARMACEUTICALS INC,Health Care,2394372.6
9,LXRX,LEXICON PHARMACEUTICALS INC,Health Care,1971967.72
